SKU,year,week_num,month,cost_price
10060,2019,1,12,2211.0
10060,2019,15,4,2454.0
10060,2019,16,4,2432.0
10060,2019,17,4,2449.0
10060,2019,18,4,2280.0
10060,2019,18,5,2280.0
10060,2019,19,5,2182.0
10060,2019,20,5,2401.0
10060,2019,21,5,2432.0
10060,2019,22,5,2429.0
10060,2019,22,6,2409.0
10060,2019,23,6,2442.0
10060,2019,24,6,2461.0
10060,2019,25,6,2503.0
10060,2019,26,6,2443.0
10060,2019,27,7,2450.0
10060,2019,28,7,2467.0
10060,2019,29,7,2416.0
10060,2019,30,7,2485.0
10060,2019,31,7,2438.0
10060,2019,31,8,2396.0
10060,2019,32,8,2385.0
10060,2019,33,8,2457.0
10060,2019,34,8,2417.0
10060,2019,35,8,2298.0
10060,2019,35,9,2258.0
10060,2019,36,9,2437.0
10060,2019,37,9,2404.0
10060,2019,38,9,2457.0
10060,2019,39,9,2432.0
10060,2019,40,9,2467.0
10060,2019,40,10,2424.0
10060,2019,41,10,2437.0
10060,2019,42,10,2457.0
10060,2019,43,10,2444.0
10060,2019,44,10,2415.0
10060,2019,44,11,2394.0
10060,2019,45,11,2414.0
10060,2019,46,11,2400.0
10060,2019,47,11,2467.0
10060,2019,48,11,2433.0
10060,2019,48,12,2454.0
10060,2019,49,12,2383.0
10060,2019,50,12,2292.0
10060,2019,51,12,2272.0
10060,2019,52,12,2177.0
10121,2019,1,12,2552.0
10121,2019,41,10,2511.0
10121,2019,42,10,2544.0
10121,2019,43,10,2578.0
10121,2019,44,10,2541.0
10121,2019,44,11,2609.0
10121,2019,45,11,2499.0
10121,2019,46,11,2581.0
10121,2019,47,11,2550.0
10121,2019,48,11,2439.0
10121,2019,48,12,2460.0
10121,2019,49,12,2544.0
10121,2019,50,12,2558.0
10121,2019,51,12,2528.0
10121,2019,52,12,2565.0
10216,2019,1,12,3209.0
10216,2019,24,6,3240.0
10216,2019,25,6,3244.0
10216,2019,26,6,3289.0
10216,2019,27,7,3223.0
10216,2019,28,7,3197.0
10216,2019,29,7,3242.0
10216,2019,30,7,3150.0
10216,2019,31,7,3167.0
10216,2019,31,8,3167.0
10216,2019,32,8,3138.0
10216,2019,33,8,3211.0
10216,2019,34,8,3219.0
10216,2019,35,8,3181.0
10216,2019,35,9,3237.0
10216,2019,36,9,3148.0
10216,2019,37,9,3149.0
10216,2019,38,9,3180.0
10216,2019,39,9,3146.0
10216,2019,40,9,3274.0
10216,2019,40,10,3246.0
10216,2019,41,10,3233.0
10216,2019,42,10,3272.0
10216,2019,43,10,3240.0
10216,2019,44,10,3209.0
10216,2019,44,11,3209.0
10216,2019,45,11,3226.0
10216,2019,46,11,2944.0
10216,2019,47,11,2850.0
10216,2019,48,11,2978.0
10216,2019,48,12,2902.0
10216,2019,49,12,2870.0
10216,2019,50,12,2928.0
10216,2019,51,12,2921.0
10216,2019,52,12,2881.0
10230,2019,1,12,1095.0
10230,2019,11,3,1078.0
10230,2019,12,3,1051.0
10230,2019,13,3,1058.0
10230,2019,14,4,1065.0
10230,2019,15,4,1054.0
10230,2019,16,4,1057.0
10230,2019,17,4,1054.0
10230,2019,18,4,1077.0
10230,2019,18,5,1087.0
10230,2019,19,5,1047.0
10230,2019,20,5,1067.0
10230,2019,21,5,1048.0
10230,2019,22,5,1070.0
10230,2019,22,6,1079.0
10230,2019,23,6,1041.0
10230,2019,24,6,1049.0
10230,2019,25,6,1035.0
10230,2019,26,6,1075.0
10230,2019,27,7,1044.0
10230,2019,28,7,1053.0
10230,2019,29,7,1096.0
10230,2019,30,7,1083.0
10230,2019,31,7,1061.0
10230,2019,31,8,1051.0
10230,2019,32,8,1088.0
10230,2019,33,8,1070.0
10230,2019,34,8,1049.0
10230,2019,35,8,1059.0
10230,2019,35,9,1059.0
10230,2019,36,9,1071.0
10230,2019,37,9,1073.0
10230,2019,38,9,1056.0
10230,2019,39,9,1045.0
10230,2019,40,9,1077.0
10230,2019,40,10,1087.0
10230,2019,41,10,1094.0
10230,2019,42,10,1084.0
10230,2019,43,10,1070.0
10230,2019,44,10,1062.0
10230,2019,44,11,1100.0
10230,2019,45,11,1062.0
10230,2019,46,11,1077.0
10230,2019,47,11,1087.0
10230,2019,48,11,1082.0
10230,2019,48,12,1092.0
10230,2019,49,12,1067.0
10230,2019,50,12,1070.0
10230,2019,51,12,1069.0
10230,2019,52,12,1074.0
10290,2018,1,12,847.0
10290,2018,8,2,838.0
10290,2018,9,2,821.0
10290,2018,9,3,821.0
10290,2018,10,3,815.0
10290,2018,11,3,809.0
10290,2018,12,3,825.0
10290,2018,13,3,840.0
10290,2018,13,4,832.0
10290,2018,14,4,822.0
10290,2018,15,4,819.0
10290,2018,16,4,811.0
10290,2018,17,4,842.0
10290,2018,18,4,814.0
10290,2018,18,5,814.0
10290,2018,19,5,803.0
10290,2018,20,5,804.0
10290,2018,21,5,808.0
10290,2018,22,5,809.0
10290,2018,22,6,809.0
10290,2018,23,6,848.0
10290,2018,24,6,832.0
10290,2018,25,6,817.0
10290,2018,26,6,800.0
10290,2018,26,7,807.0
10290,2018,27,7,834.0
10290,2018,28,7,830.0
10290,2018,29,7,821.0
10290,2018,30,7,816.0
10290,2018,31,7,838.0
10290,2018,31,8,838.0
10290,2018,32,8,815.0
10290,2018,33,8,847.0
10290,2018,34,8,841.0
10290,2018,35,8,824.0
10290,2018,35,9,832.0
10290,2018,36,9,828.0
10290,2018,37,9,825.0
10290,2018,38,9,839.0
10290,2018,39,9,815.0
10290,2018,40,10,821.0
10290,2018,41,10,840.0
10290,2018,42,10,829.0
10290,2018,43,10,827.0
10290,2018,44,10,847.0
10290,2018,44,11,855.0
10290,2018,45,11,842.0
10290,2018,46,11,845.0
10290,2018,47,11,833.0
10290,2018,48,11,831.0
10290,2018,48,12,817.0
10290,2018,49,12,820.0
10290,2018,50,12,826.0
10290,2018,51,12,847.0
10290,2018,52,12,821.0
10290,2019,1,1,821.0
10290,2019,2,1,844.0
10290,2019,3,1,839.0
10290,2019,4,1,840.0
10290,2019,5,1,837.0
10290,2019,5,2,859.0
10290,2019,6,2,834.0
10290,2019,7,2,826.0
10290,2019,8,2,859.0
10290,2019,9,2,846.0
10290,2019,9,3,854.0
10290,2019,10,3,854.0
10290,2019,11,3,830.0
10290,2019,12,3,848.0
10290,2019,13,3,841.0
10290,2019,14,4,841.0
10290,2019,15,4,831.0
10388,2019,1,12,2594.0
10388,2019,18,4,2497.0
10388,2019,18,5,2497.0
10388,2019,19,5,2537.0
10388,2019,20,5,2787.0
10388,2019,21,5,2797.0
10388,2019,22,5,2768.0
10388,2019,22,6,2792.0
10388,2019,23,6,2817.0
10388,2019,24,6,2703.0
10388,2019,25,6,2670.0
10388,2019,26,6,2734.0
10388,2019,27,7,2762.0
10388,2019,28,7,2844.0
